Version, File Name, Size, LOCAdded, LOCTouched, MaxLOCAdded, averageLOCAdded, NR, Churn, MaxChurn, AverageChurn, nAuthors, Buggy
1, openjpa-kernel/src/main/java/org/apache/openjpa/util/AbstractChangeTracker.java, 233, 482,731,239,96.0,5,233,230,46.599998474121094,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ObjectValue.java, 116, 155,194,117,25.0,6,116,117,19.33333396911621,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/log/MultiLogFactory.java, 190, 281,372,217,40.0,7,190,217,27.14285659790039,2,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ConcurrentQueryCache.java, 137, 274,411,137,54.0,5,137,133,27.399999618530273,2,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/util/ReferenceHashMap.java, 205, 284,363,224,56.0,5,205,224,41.0,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/SourceTrackers.java, 55, 92,129,58,13.0,7,55,58,7.857142925262451,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/conf/RemoteCommitProviderValue.java, 139, 276,413,139,55.0,5,139,132,27.799999237060547,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Aggregate.java, 94, 189,284,91,31.0,6,94,84,15.666666984558105,2,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingDataCache.java, 333, 689,1045,335,114.0,6,333,307,55.5,2,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/JDBCEvent.java, 159, 207,255,157,41.0,5,159,157,31.799999237060547,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCOrder.java, 43, 43,43,43,21.0,2,43,43,21.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AttachManager.java, 330, 668,1006,335,111.0,6,330,317,55.0,2,false
1, openjpa-persistence/src/main/java/org/apache/openjpa/persistence/Externalizer.java, 36, 72,108,36,18.0,4,36,33,9.0,1,false
1, openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingDefaults.java, 165, 165,165,165,82.0,2,165,165,82.5,1,true
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MergedResult.java, 533, 539,545,534,134.0,4,533,534,133.25,2,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/xml/ValidatingErrorHandler.java, 43, 62,81,41,12.0,5,43,41,8.600000381469727,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/MetaDataIterator.java, 57, 86,115,57,17.0,5,57,57,11.399999618530273,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentReferenceHashSet.java, 129, 171,213,132,34.0,5,129,132,25.799999237060547,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/SimpleResultList.java, 111, 153,195,122,30.0,5,111,122,22.200000762939453,1,false
1, openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/ElementJoinColumns.java, 36, 36,36,36,18.0,2,36,36,18.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableExpression.java, 80, 89,98,81,22.0,4,80,81,20.0,2,false
1, openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/OrderColumn.java, 45, 45,45,45,22.0,2,45,45,22.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/event/CallbackModes.java, 50, 100,150,50,25.0,4,50,47,12.5,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/CondVar.java, 200, 307,414,238,51.0,6,200,238,33.33333206176758,1,false
