@relation BOOKKEEPER_3/BOOKKEEPER_3_training_set.arff

@attribute ' Size' numeric
@attribute ' LOCAdded' numeric
@attribute ' LOCTouched' numeric
@attribute ' maxLOCAdded' numeric
@attribute ' averageLOCAdded' numeric
@attribute ' NR' numeric
@attribute ' Churn' numeric
@attribute ' MaxChurn' numeric
@attribute ' AverageChurn' numeric
@attribute ' nAuthors' numeric
@attribute Buggy {'true','false'}

@data
57,61,65,57,30.0,2,57,57,28.5,2,false
104,111,118,104,55.0,2,104,104,52.0,2,true
237,257,277,237,128.0,2,237,237,118.5,2,true
71,78,85,70,19.0,4,71,70,17.75,2,false
124,127,130,124,63.0,2,124,124,62.0,2,false
98,98,98,98,98.0,1,98,98,98.0,1,false
183,202,221,180,50.0,4,183,180,45.75,2,true
49,49,49,49,49.0,1,49,49,49.0,1,false
148,148,148,148,148.0,1,148,148,148.0,1,false
36,41,46,36,20.0,2,36,36,18.0,2,true
79,94,109,78,31.0,3,79,78,26.33333396911621,2,false
133,139,145,133,46.0,3,133,133,44.33333206176758,2,true
37,37,37,37,37.0,1,37,37,37.0,1,false
160,167,174,159,41.0,4,160,159,40.0,2,true
253,255,257,251,127.0,2,253,251,126.5,1,true
27,28,29,27,14.0,2,27,27,13.5,2,false
92,126,160,91,31.0,4,92,91,23.0,3,false
64,65,66,64,32.0,2,64,64,32.0,2,true
551,621,691,536,88.0,7,551,536,78.71428680419922,3,true
196,224,252,178,37.0,6,196,178,32.66666793823242,3,true
204,204,204,204,204.0,1,204,204,204.0,1,false
27,27,27,27,27.0,1,27,27,27.0,1,false
77,79,81,77,39.0,2,77,77,38.5,2,false
6367,12222,18077,6127,6111.0,2,6367,6095,3183.5,2,false
704,742,780,703,247.0,3,704,703,234.6666717529297,2,true
105,155,205,104,51.0,3,105,104,35.0,2,false
471,633,795,487,70.0,9,471,487,52.33333206176758,3,true
216,224,232,216,56.0,4,216,216,54.0,2,true
81,92,103,80,23.0,4,81,80,20.25,3,false
48,50,52,48,25.0,2,48,48,24.0,2,false
162,163,164,162,81.0,2,162,162,81.0,2,false
92,121,150,81,40.0,3,92,81,30.66666603088379,3,true
47,51,55,47,25.0,2,47,47,23.5,2,false
144,144,144,144,144.0,1,144,144,144.0,1,true
165,182,199,138,45.0,4,165,138,41.25,3,true
39,39,39,39,39.0,1,39,39,39.0,1,false
