@relation OPENJPA_2/OPENJPA_2_training-set.arff

@attribute ' Size' numeric
@attribute ' LOCAdded' numeric
@attribute ' LOCTouched' numeric
@attribute ' maxLOCAdded' numeric
@attribute ' averageLOCAdded' numeric
@attribute ' NR' numeric
@attribute ' Churn' numeric
@attribute ' MaxChurn' numeric
@attribute ' AverageChurn' numeric
@attribute ' nAuthors' numeric
@attribute Buggy {'true','false'}

@data
124,124,124,124,62.0,2,124,124,62.0,1,false
88,180,272,90,45.0,4,88,85,22.0,1,false
1619,3163,4707,1619,263.0,12,1619,1502,134.9166717529297,3,false
36,72,108,36,18.0,4,36,33,9.0,1,false
985,1982,2979,993,247.0,8,985,969,123.125,2,false
53,85,117,55,14.0,6,53,55,8.833333015441895,1,false
80,162,244,81,40.0,4,80,76,20.0,1,false
38,69,100,39,11.0,6,38,39,6.333333492279053,1,false
256,370,484,294,74.0,5,256,294,51.20000076293945,1,false
73,154,235,75,30.0,5,73,70,14.600000381469727,2,false
284,565,846,293,80.0,7,284,261,40.57143020629883,2,false
1383,1720,2057,1458,172.0,10,1383,1458,138.3000030517578,3,false
435,944,1453,473,188.0,5,435,429,87.0,1,false
769,1535,2301,775,307.0,5,769,740,153.8000030517578,1,false
262,262,262,262,131.0,2,262,262,131.0,1,false
92,92,92,92,46.0,2,92,92,46.0,1,false
66,130,194,66,32.0,4,66,63,16.5,1,false
38,76,114,39,19.0,4,38,34,9.5,1,false
42,62,82,42,12.0,5,42,42,8.399999618530273,1,false
376,376,376,376,188.0,2,376,376,188.0,1,false
439,849,1259,430,141.0,6,439,403,73.16666412353516,2,false
48,95,142,48,23.0,4,48,44,12.0,1,false
59,128,197,64,32.0,4,59,58,14.75,1,false
64,126,188,64,31.0,4,64,61,16.0,1,false
151,211,271,153,35.0,6,151,153,25.16666603088379,1,false
150,298,446,140,59.0,5,150,136,30.0,2,false
96,99,102,96,33.0,3,96,96,32.0,2,false
78,92,106,81,18.0,5,78,81,15.600000381469727,2,false
38,75,112,38,18.0,4,38,34,9.5,1,false
167,244,321,190,48.0,5,167,190,33.400001525878906,1,false
40,79,118,40,19.0,4,40,36,10.0,1,false
35,69,103,35,17.0,4,35,32,8.75,1,false
30,36,42,29,18.0,2,30,29,15.0,1,false
91,183,275,92,45.0,4,91,87,22.75,1,false
108,214,320,108,53.0,4,108,104,27.0,1,false
39,77,115,40,19.0,4,39,35,9.75,1,false
96,147,198,106,29.0,5,96,106,19.200000762939453,1,false
79,79,79,79,39.0,2,79,79,39.5,1,false
39,57,75,39,11.0,5,39,39,7.800000190734863,1,false
593,1213,1833,618,121.0,10,593,563,59.29999923706055,4,false
36,70,104,36,17.0,4,36,32,9.0,1,false
838,1650,2462,838,330.0,5,838,800,167.60000610351562,2,false
501,993,1485,502,248.0,4,501,474,125.25,1,false
109,216,323,110,43.0,5,109,104,21.799999237060547,1,false
76,84,92,76,28.0,3,76,76,25.33333396911621,2,false
144,144,144,144,72.0,2,144,144,72.0,1,false
149,149,149,149,74.0,2,149,149,74.5,1,false
39,78,117,40,19.0,4,39,35,9.75,1,false
455,911,1367,456,113.0,8,455,433,56.875,1,false
151,151,151,151,75.0,2,151,151,75.5,1,false
740,1441,2142,665,205.0,7,740,627,105.71428680419922,2,false
109,173,237,63,34.0,5,109,59,21.799999237060547,2,false
76,87,98,77,21.0,4,76,77,19.0,2,false
399,412,425,401,137.0,3,399,401,133.0,2,false
32,61,90,32,15.0,4,32,28,8.0,1,false
37,72,107,37,18.0,4,37,33,9.25,1,false
246,480,714,248,96.0,5,246,227,49.20000076293945,1,false
136,275,414,137,45.0,6,136,133,22.66666603088379,2,false
193,224,255,192,37.0,6,193,192,32.16666793823242,2,false
2191,4441,6691,2249,493.0,9,2191,2108,243.44444274902344,2,false
56,113,170,57,22.0,5,56,52,11.199999809265137,1,false
76,148,220,76,37.0,4,76,70,19.0,1,false
42,42,42,42,21.0,2,42,42,21.0,1,false
628,726,824,636,121.0,6,628,636,104.66666412353516,2,false
60,60,60,60,30.0,2,60,60,30.0,1,false
277,550,823,277,137.0,4,277,270,69.25,1,false
59,114,169,59,28.0,4,59,53,14.75,1,false
66,86,106,67,17.0,5,66,67,13.199999809265137,1,false
198,334,470,207,55.0,6,198,207,33.0,1,false
625,628,631,625,157.0,4,625,625,156.25,1,false
30,48,66,30,9.0,5,30,30,6.0,1,false
