Dataset, Iteration, Classifier, Precision, Recall, AUC, Kappa, Search Method, Sampling Method
open, 15, ibk, 0.31511254019292606, 0.40081799591002043, 0.6471569011516395, 0.24723189920805644, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 16, naive_bayes, 0.6375, 0.3722627737226277, 0.7183082720887431, 0.4255092377823188, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 16, random_forest, 0.36363636363636365, 0.39416058394160586, 0.7115583252995455, 0.30193092728274235, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 16, ibk, 0.30386740331491713, 0.40145985401459855, 0.6701872742018727, 0.25697993201008906, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 17, naive_bayes, 0.5263157894736842, 0.49504950495049505, 0.8218973060096707, 0.4704763514941462, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 17, random_forest, 0.3025210084033613, 0.5346534653465347, 0.7831259662511102, 0.31909349372738194, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 17, ibk, 0.2614173228346457, 0.5478547854785478, 0.7552378576728105, 0.27832125714077144, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 18, naive_bayes, 0.6222222222222222, 0.38620689655172413, 0.7830618311533888, 0.4279069767441856, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 18, random_forest, 0.37532133676092544, 0.503448275862069, 0.7527318668252081, 0.34689668104256516, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 18, ibk, 0.32722143864598024, 0.5333333333333333, 0.7292330558858502, 0.31065555305248965, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 19, naive_bayes, 0.4722222222222222, 0.2982456140350877, 0.7745534393701504, 0.3021381685838694, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 19, random_forest, 0.3561946902654867, 0.47076023391812866, 0.771943477370469, 0.313783600271598, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 19, ibk, 0.32756489493201485, 0.5165692007797271, 0.745604933215009, 0.300337225768951, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 21, naive_bayes, 0.5042016806722689, 0.40268456375838924, 0.7728939196634278, 0.3938997222145827, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 21, random_forest, 0.309255079006772, 0.4597315436241611, 0.751980867474707, 0.2841161906036536, BIDIRECTIONAL_SEARCH, OVERSAMPLING
open, 21, ibk, 0.27204030226700254, 0.48322147651006714, 0.7273673578416642, 0.25237503855733184, BIDIRECTIONAL_SEARCH, OVERSAMPLING
