Dataset, Iteration, Classifier, Precision, Recall, AUC, Kappa, Search Method, Sampling Method
open, 15, random_forest, 0.6666666666666666, 0.18404907975460122, 0.6464258951772025, 0.24767717181504892, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 15, ibk, 0.625, 0.18404907975460122, 0.6148201259579525, 0.24110050490027526, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 16, naive_bayes, 0.717391304347826, 0.24087591240875914, 0.7248657209750723, 0.324975093537603, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 16, random_forest, 0.6666666666666666, 0.16058394160583941, 0.6685843422518811, 0.22728128471110898, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 16, ibk, 0.6179775280898876, 0.13381995133819952, 0.6124392944734496, 0.18966886403429004, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 17, naive_bayes, 0.6530612244897959, 0.31683168316831684, 0.8232377224433407, 0.3961324064309229, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 17, random_forest, 0.5466666666666666, 0.20297029702970298, 0.7273866402420973, 0.26523452726406527, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 17, ibk, 0.5178571428571429, 0.19141914191419143, 0.6615329722341005, 0.24810820289391408, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 18, naive_bayes, 0.7169811320754716, 0.2620689655172414, 0.7552705112960761, 0.34486873508353205, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 18, random_forest, 0.7272727272727273, 0.19310344827586207, 0.6808390309155767, 0.27119720546205084, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 18, ibk, 0.7169811320754716, 0.17471264367816092, 0.6307874223807637, 0.24822847326605074, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 19, naive_bayes, 0.5616438356164384, 0.23976608187134502, 0.7692743531981705, 0.28588123452155306, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 19, random_forest, 0.5984251968503937, 0.2222222222222222, 0.7252275468177578, 0.27818213096038674, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 19, ibk, 0.5863874345549738, 0.21832358674463936, 0.6670049529357331, 0.27177394649589115, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 21, naive_bayes, 0.7358490566037735, 0.26174496644295303, 0.7934488630672143, 0.3521180136428714, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 21, random_forest, 0.6951219512195121, 0.1912751677852349, 0.694674070920565, 0.268404681335245, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
open, 21, ibk, 0.656, 0.18344519015659955, 0.6343252974501097, 0.2540904503362973, BIDIRECTIONAL_SEARCH, UNDERSAMPLING
