Version, File Name, Size, LOCAdded, LOCTouched, MaxLOCAdded, averageLOCAdded, NR, Churn, MaxChurn, AverageChurn, nAuthors, Buggy
1, hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java, 66, 79,92,65,39.0,2,66,65,33.0,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java, 84, 133,182,83,44.0,3,84,83,28.0,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java, 39, 49,59,38,16.0,3,39,38,13.0,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java, 53, 53,53,53,53.0,1,53,53,53.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java, 197, 208,219,187,52.0,4,197,187,49.25,3,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java, 71, 72,72,72,72.0,1,72,72,72.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java, 91, 96,101,91,48.0,2,91,91,45.5,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java, 169, 232,295,140,25.0,9,169,140,18.77777862548828,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java, 22, 22,22,22,22.0,1,22,22,22.0,1,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java, 248, 288,328,198,41.0,7,248,198,35.42856979370117,3,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java, 193, 193,193,193,193.0,1,193,193,193.0,1,true
1, hedwig-client/src/main/java/org/apache/hedwig/util/Either.java, 50, 50,50,50,50.0,1,50,50,50.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java, 74, 76,78,73,38.0,2,74,73,37.0,2,true
1, hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java, 98, 100,102,97,50.0,2,98,97,49.0,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java, 62, 62,62,62,62.0,1,62,62,62.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java, 737, 886,1035,736,295.0,3,737,736,245.6666717529297,2,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java, 48, 56,64,48,18.0,3,48,48,16.0,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java, 566, 600,634,561,150.0,4,566,561,141.5,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java, 385, 400,415,364,66.0,6,385,364,64.16666412353516,3,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java, 46, 47,48,46,23.0,2,46,46,23.0,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java, 61, 66,71,61,22.0,3,61,61,20.33333396911621,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java, 29, 30,31,29,15.0,2,29,29,14.5,2,true
1, hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java, 56, 56,56,56,56.0,1,56,56,56.0,1,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java, 204, 210,216,124,42.0,5,204,124,40.79999923706055,3,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java, 393, 489,585,209,44.0,11,393,209,35.727272033691406,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java, 28, 28,28,28,28.0,1,28,28,28.0,1,false
1, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java, 114, 123,132,113,30.0,4,114,113,28.5,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java, 1026, 1246,1466,545,89.0,14,1026,545,73.28571319580078,3,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java, 369, 369,369,369,369.0,1,369,369,369.0,1,true
1, hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java, 183, 203,223,185,50.0,4,183,185,45.75,3,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java, 58, 60,62,57,30.0,2,58,57,29.0,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java, 728, 931,1134,714,155.0,6,728,714,121.33333587646484,2,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java, 41, 42,42,42,42.0,1,42,42,42.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java, 289, 290,291,289,145.0,2,289,289,144.5,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java, 104, 134,164,104,67.0,2,104,104,52.0,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java, 181, 203,225,178,29.0,7,181,178,25.85714340209961,3,true
1, hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java, 42, 42,42,42,42.0,1,42,42,42.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java, 64, 80,96,64,40.0,2,64,64,32.0,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java, 548, 1040,1532,410,115.0,9,548,410,60.88888931274414,3,true
1, hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java, 138, 138,138,138,138.0,1,138,138,138.0,1,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java, 78, 78,78,78,78.0,1,78,78,78.0,1,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java, 52, 54,56,52,27.0,2,52,52,26.0,2,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java, 58, 59,60,58,29.0,2,58,58,29.0,2,false
1, hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java, 137, 150,163,136,37.0,4,137,136,34.25,2,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java, 58, 63,68,58,21.0,3,58,58,19.33333396911621,2,false
1, hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java, 41, 41,41,41,41.0,1,41,41,41.0,1,false
1, hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java, 38, 40,42,38,20.0,2,38,38,19.0,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java, 69, 98,127,94,32.0,3,69,94,23.0,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java, 452, 472,492,450,118.0,4,452,450,113.0,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java, 87, 88,89,87,44.0,2,87,87,43.5,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java, 72, 73,74,72,36.0,2,72,72,36.0,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java, 85, 86,87,85,43.0,2,85,85,42.5,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java, 81, 81,81,81,81.0,1,81,81,81.0,1,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java, 75, 81,87,75,40.0,2,75,75,37.5,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java, 32, 35,38,31,17.0,2,32,31,16.0,2,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java, 99, 108,117,98,27.0,4,99,98,24.75,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java, 159, 163,167,158,54.0,3,159,158,53.0,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java, 205, 212,219,204,53.0,4,205,204,51.25,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java, 271, 280,289,249,70.0,4,271,249,67.75,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java, 101, 151,201,100,50.0,3,101,100,33.66666793823242,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java, 70, 76,82,70,25.0,3,70,70,23.33333396911621,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java, 514, 514,514,514,514.0,1,514,514,514.0,1,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java, 54, 59,64,54,19.0,3,54,54,18.0,3,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java, 111, 111,111,111,111.0,1,111,111,111.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java, 64, 65,66,64,32.0,2,64,64,32.0,2,false
1, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java, 88, 91,94,87,30.0,3,88,87,29.33333396911621,2,false
1, hedwig-client/src/main/java/org/apache/hedwig/util/Option.java, 43, 43,43,43,43.0,1,43,43,43.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java, 429, 506,583,428,168.0,3,429,428,143.0,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java, 74, 76,78,74,38.0,2,74,74,37.0,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java, 94, 97,100,93,32.0,3,94,93,31.33333396911621,2,false
1, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java, 336, 414,492,329,69.0,6,336,329,56.0,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java, 154, 165,176,153,55.0,3,154,153,51.33333206176758,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java, 234, 438,642,209,73.0,6,234,209,39.0,3,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java, 128, 137,146,127,27.0,5,128,127,25.600000381469727,3,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java, 762, 1462,2162,547,121.0,12,762,547,63.5,3,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java, 149, 152,155,148,50.0,3,149,148,49.66666793823242,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java, 31, 32,33,31,16.0,2,31,31,15.5,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java, 94, 94,94,94,94.0,1,94,94,94.0,1,true
1, hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java, 54, 55,56,45,18.0,3,54,45,18.0,3,false
1, hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java, 63, 67,71,63,33.0,2,63,63,31.5,2,true
